launch_angle_deg,max_altitude_m,range_m,max_speed_ms,max_accel_ms2,flight_time_s,burn_time_s,impact_speed_ms
25.0,7542.0,83140.5,1234.0,43.5,123.49,60.0,479.7
27.5,10716.9,95715.0,1285.3,39.2,137.42,60.0,510.2
30.0,14470.8,112887.5,1334.7,35.0,152.2,60.0,554.5
32.5,19013.7,135725.4,1381.2,31.8,168.17,60.0,610.6
35.0,24486.5,163485.1,1425.8,36.7,185.11,60.0,672.6
37.5,31096.5,200521.4,1467.5,40.7,203.33,60.0,752.6
40.0,38671.9,231211.1,1503.6,43.9,221.3,60.0,820.0
42.5,46936.2,257652.7,1533.6,46.3,238.87,60.0,883.5
45.0,55678.7,279454.7,1557.6,48.2,255.8,60.0,936.7
47.5,64738.8,296456.5,1576.1,49.5,272.02,60.0,986.1
50.0,73976.3,308603.9,1589.7,50.5,287.44,60.0,1030.1
52.5,83249.8,315865.8,1606.2,54.9,302.01,60.0,1066.1
55.0,92434.4,318337.5,1626.2,54.6,315.67,60.0,1101.7
57.5,101405.6,316136.4,1641.2,54.3,328.39,60.0,1130.8
60.0,110099.0,309608.4,1652.7,54.1,340.2,60.0,1150.7
62.5,118429.0,298998.3,1661.3,55.5,351.1,60.0,1171.7
65.0,126287.2,284498.0,1667.5,57.2,361.05,60.0,1192.1
67.5,133626.9,266478.9,1672.2,58.6,370.07,60.0,1208.7
70.0,140407.2,245294.0,1675.4,59.8,378.19,60.0,1223.2
72.5,146509.6,221140.0,1677.7,60.9,385.34,60.0,1231.1
75.0,151934.1,194450.9,1679.3,61.7,391.58,60.0,1242.4
77.5,156603.2,165516.1,1680.5,62.4,396.86,60.0,1248.6
80.0,160474.4,134693.1,1681.4,63.0,401.17,60.0,1255.8
82.5,163512.8,102349.8,1681.7,63.4,404.53,60.0,1257.4
85.0,165719.0,68876.4,1681.8,63.7,406.95,60.0,1261.7
