launch_angle_deg,max_altitude_m,range_m,max_speed_ms,max_accel_ms2,flight_time_s,burn_time_s,impact_speed_ms
25.0,6651.7,66538.1,1075.2,56.0,117.8,60.0,384.2
27.5,8897.2,67881.2,1069.1,55.8,127.54,60.0,387.1
30.0,11174.3,68596.6,1063.1,55.6,136.52,60.0,394.5
32.5,13470.8,68824.2,1057.0,55.4,144.95,60.0,403.1
35.0,15775.8,68646.3,1051.0,55.3,152.97,60.0,411.6
37.5,18079.0,68115.6,1045.1,55.1,160.63,60.0,419.5
40.0,20370.7,67267.6,1039.3,54.9,168.0,60.0,426.4
42.5,22641.5,66127.8,1033.6,54.8,175.11,60.0,432.2
45.0,24882.0,64714.4,1028.0,54.6,181.96,60.0,437.2
47.5,27083.2,63041.3,1022.6,54.5,188.58,60.0,441.3
50.0,29235.8,61118.7,1017.3,54.3,194.95,60.0,444.8
52.5,31330.7,58954.5,1012.2,54.2,201.09,60.0,447.7
55.0,33358.3,56554.4,1007.3,54.0,206.97,60.0,450.0
57.5,35309.4,53922.9,1002.6,53.9,212.59,60.0,452.0
60.0,37174.2,51063.1,998.2,53.8,217.92,60.0,453.6
62.5,38943.0,47977.2,994.1,53.7,222.96,60.0,454.8
65.0,40606.0,44667.0,990.2,53.6,227.68,60.0,455.9
67.5,42153.3,41133.5,986.6,53.5,232.06,60.0,456.8
70.0,43574.8,37377.8,983.4,53.4,236.08,60.0,457.5
72.5,44860.6,33401.2,980.4,53.3,239.7,60.0,458.0
75.0,46001.1,29205.8,977.9,53.3,242.9,60.0,458.5
77.5,46986.6,24795.4,975.7,53.2,245.67,60.0,458.9
80.0,47808.3,20176.6,973.9,53.2,247.96,60.0,459.1
82.5,48457.8,15361.1,972.5,53.1,249.77,60.0,459.4
85.0,48927.9,10368.3,971.5,53.1,251.08,60.0,459.5
